86,BC001122415,King of Beer,17,6.5,6.5,718.25,676,57
87,BC001122416,Ma Ma one dozen,25,9,16,3600,692,53
88,BC001122417,Bualducci Spaghetti,25.5,7.5,3,573.75,511.2,56
89,BC001122418,Pork saugage,14.5,6.5,1,94.25,119.1,58
90,BC001122419,Najum,17.5,5,5,437.5,416,30
91,BC001122420,Sunflower Oil,28,7.5,7.5,1575,947.9,79
92,BC001122421,Apple,6,14,14,1176,600.2,48
93,BC001122422,Egg Tofu,14,4.5,2.5,157.5,125.3,10
94,BC001122423,Brands,6.5,4.7,4.7,143.585,120.8,102
95,BC001122424,Candle Pack,21,12,4,1008,498.8,75
